food_name,serving_size_g,energy_kcal,carbohydrate_g,total_sugars_g,fat_g,protein_g,calcium_mg,phosph_mg,sodium_mg,potassium_mg,magnesium_mg,iron_mg,zinc_mg,cholesterol_mg,transfat_g,class
김치우동,800.0,512.712,99.064,0.0,4.736,16.744,247.856,233.552,3003.048,725.528,11.2,4.144,1.76,33.44,0.0,02011005
김치말이국수,600.0,310.377,60.75599999999999,2.997,2.469,10.418,105.79,190.999,2335.448,453.9569999999999,0.0,2.426,1.434,22.23,0.0,02011006
닭칼국수,900.0,643.097,70.238,0.0,19.58700000000001,39.85900000000001,110.155,285.9659999999999,2492.774,913.479,5.774999999999999,2.451000000000001,1.637,113.772,0.0,02011007
들깨칼국수,600.0,442.3219999999999,76.674,2.398,6.778,17.477,176.467,217.32,1695.773,693.3120000000001,0.0,2.452,1.075,16.72,0.0,02011008
떡라면,700.0,672.1799999999998,121.083,0.0,17.579,15.451,30.33,2376.04,2214.356,362.5099999999999,0.515,1.594,1.3486,2.344,0.0,02011009
라면,550.0,509.328,83.16800000000002,0.0,17.748,14.077,32.993,145.281,1695.501,374.069,0.97,1.226,1.191,2.344,0.0,02011010
막국수,550.0,566.886,111.302,11.022,5.087499999999999,26.9485,68.89600000000002,286.782,1828.021,894.768,19.55,3.9275,5.231,37.1,0.0,02011011
메밀국수,600.0,588.6750000000001,120.087,10.162,4.526999999999999,25.259,76.058,224.956,1962.458,629.1239999999998,11.48,3.212,4.64,35.98,0.0,02011012
물냉면,800.0,579.71,96.40300000000002,1.199,9.779,28.784,87.735,422.72,2586.1597,1042.885,16.39,7.770999999999999,5.6895,178.225,0.0,02011013
비빔국수,550.0,577.17,114.475,11.015,9.549999999999999,16.705,130.69,262.575,1628.3,1389.395,7.55,6.27,2.59,0.0,0.0,02011014
비빔냉면,550.0,594.3100000000001,91.49200000000002,1.999,9.127999999999998,23.699,64.99000000000001,1186.3,1530.57,298.62,12.314,6.434,4.632,31.731,0.0,02011015
삼선우동,1000.0,692.2599999999999,89.195,1.999,10.528,56.1725,216.64,687.99,2351.4322,1527.995,68.7435,11.293,5.4695,640.675,0.0,02011016
삼선자장면,700.0,787.844,111.57,1.999,24.682,38.326,143.37,493.95,2791.1097,850.27,41.696,6.669,3.563,162.24,0.0,02011017
삼선짬뽕,900.0,629.1000000000001,89.31099999999999,2.997,13.452,39.17,172.14,509.6,2825.66,1501.78,0.0,9.818999999999999,4.368,249.3,0.0,02011018
수제비,800.0,622.148,99.21699999999998,0.0,6.540999999999999,38.529,1054.841,907.2770000000002,1669.3157,1892.553,46.05,11.102,4.707999999999999,209.0,0.0,02011019
쌀국수,600.0,321.335,46.19799999999999,2.198,5.814,21.848,45.01600000000001,184.223,2032.165,360.686,48.04,3.205,4.894000000000001,123.03,0.0,02011020
열무김치국수,800.0,488.324,81.61199999999998,0.0,8.223,21.936,341.36,295.982,2587.704,1125.83,1.15,4.448,1.7318,45.144,0.0,02011021
오일소스스파게티,400.0,626.5849999999999,99.24400000000001,0.0,16.585,14.675,37.37,52.555,968.6960000000001,218.39,0.0,3.007,2.3465,0.0,0.0,02011023
일식우동,700.0,420.7930000000001,81.226,0.5,1.739,16.935,88.548,155.031,1873.543999999999,371.349,9.342,3.173,0.708,16.202,0.0,02011024
볶음우동,300.0,377.92,62.259,0.9084,10.81,9.584999999999997,50.25,93.80000000000001,1461.31,637.56,5.73,2.073,1.019,0.0,0.0,02011025
자장면,650.0,760.88275,134.2891,7.992,23.1648,15.739625,166.695875,302.55975,2446.996375,1013.844,37.456,5.32525,1.406825,3.08,0.0,02011027
잔치국수,700.0,564.2339999999999,104.665,0.44,6.226000000000001,20.262,250.382,277.299,1792.226,904.1229999999999,3.553,3.773,1.903,167.409,0.0,02011028
짬뽕,1000.0,650.3059999999999,118.544,0.0,13.525,25.525,82.74100000000001,320.5969999999999,3451.367999999999,857.4429999999999,32.8,4.604999999999999,3.554999999999999,105.225,0.0,02011029
짬뽕라면,750.0,633.34,88.792,0.0,24.628,31.408,127.96,393.28,2380.926,1279.06,0.0,11.156,3.84,85.27999999999999,0.0,02011030
쫄면,450.0,622.4189999999999,110.852,22.13,6.932,12.358,140.025,304.89,1271.545,547.135,19.64,4.192,1.455,0.0,0.0,02011031
치즈라면,600.0,598.674,83.534,0.0,23.282,23.347,152.409,367.7929999999999,2425.97,652.327,0.0,3.056,2.992999999999999,302.2,0.0,02011032
콩국수,800.0,623.5,67.116,0.999,20.433,47.802,227.94,591.0600000000001,875.8390999999999,1343.71,0.0,8.579999999999998,5.327,0.0,0.0,02011033
크림소스스파게티,400.0,825.0615000000001,85.87595000000002,0.0,45.39685000000001,19.44275,233.3296,333.992,1025.2077,916.2121,0.0,3.2619,2.55225,140.1455,0.0,02011034
토마토소스스파게티,500.0,642.1776000000001,102.072,0.0,17.3664,20.2224,97.17599999999999,220.6896,1404.8112,1651.296,0.0,5.0928,3.3888,12.648,0.0,02011035
해물칼국수,900.0,621.1973999999999,124.2099,0.0,4.0107,24.8733,150.0489,332.5052999999999,2195.0535,887.2172999999999,0.0,10.5444,2.1228,156.774,0.0,02011036
회냉면,550.0,638.902,131.8955,22.72875,8.777999999999999,20.218,122.045,306.79,1524.2755,1374.1475,0.0,6.093999999999999,3.1405,92.895,0.0,02011037
떡국,800.0,714.9869,144.0299,0.0,5.386700000000001,21.8622,222.523,362.3531,2019.2821,610.3986,0.0,4.515200000000001,4.1334,90.802,0.0,02011038
떡만둣국,700.0,625.347,113.9604,0.0,9.3978,22.7217,150.6477,289.7448,1999.1163,949.8609,0.0,3.7605,3.2361,298.8114,0.0,02011039
짜장라면,250.0,409.375,63.77499999999999,0.0,14.85,12.0125,63.625,166.0,1276.375,490.25,0.0,1.625,0.835,1.5,0.0,02011040
고기만두,250.0,454.385,55.325,0.0,18.245,18.6575,121.6375,234.6375,888.8000000000002,767.3375000000001,0.0,4.19,3.09,21.0,0.0,02012001
군만두,250.0,684.4199999999998,76.17,0.0,31.175,19.7725,53.37750000000001,281.6174999999999,983.7025000000001,595.0325,0.0,4.85,2.6575,36.0,0.0,02012002
김치만두,250.0,424.6424000000001,60.7932,0.0,13.0962,18.4314,91.73060000000002,271.1773999999999,961.9740000000002,1181.7676,0.0,5.5406,2.815799999999999,20.28,0.0,02012003
물만두,120.0,158.05255,20.48495,0.0,5.842,5.858099999999999,27.6023,81.85815,269.5197499999999,259.7091,0.0,1.4214,0.7865999999999997,7.589999999999999,0.0,02012004
만둣국,700.0,432.621,53.27699999999999,0.0,14.924,19.243,163.289,300.748,2356.668999999999,1202.838,0.0,5.032999999999999,2.135,94.22,0.0,02012005
게살죽,800.0,554.2379999999999,103.5906,0.0,7.625999999999999,18.1466,159.9984,235.9058,1533.9576,857.0639999999997,0.0,7.4948,3.3046,40.86879999999999,0.0,03011001
깨죽,800.0,505.6775000000001,71.13100000000001,0.0,18.9406,13.4294,407.8786,262.363,1212.2731,186.5923,0.0,6.3163,5.071300000000001,0.0,0.0,03011002
닭죽,1000.0,1181.71,92.53000000000003,0.0,48.17999999999999,75.93,116.55,584.82,789.79,1290.97,0.0,9.84,5.55,271.44,0.0,03011003
소고기버섯죽,800.0,573.2374,102.9346,0.0,6.461599999999999,20.5246,31.2502,288.7629999999999,1263.62,504.505,0.0,2.1976,4.329599999999999,29.315,0.0,03011004
어죽,800.0,559.2741,90.46730000000001,0.0,6.0753,15.5309,368.7915,369.061,1621.2897,450.2113000000001,0.0,4.8279,3.126199999999999,75.768,0.0,03011005
잣죽,700.0,872.6080000000001,153.7851,0.0,20.2943,15.7919,15.3296,196.779,850.6253,296.542,0.0,4.2277,4.5225,0.0,0.0,03011006
전복죽,800.0,587.2914000000001,105.0365,0.0,11.454,14.5748,75.2312,269.7085,1423.9314,405.9032,0.0,2.3157,2.531500000000001,45.15200000000001,0.0,03011007
